image src,product_name,price
https://shop.usa.canon.com/wcsstore/ExtendedSitesCatalogAssetStore/eos-77d-18-135_1_l.jpg,EOS 77D EF-S 18-135mm f/3.5-5.6 IS USM Lens Kit,1399
https://shop.usa.canon.com/wcsstore/ExtendedSitesCatalogAssetStore/EOS-80D-Digital-SLR-Body_1_l.jpg,EOS 80D Body,1099
https://shop.usa.canon.com/wcsstore/ExtendedSitesCatalogAssetStore/EOS-80D-18-55-Lens-Kit-Digital-SLR_1_l.jpg,EOS 80D EF-S 18-55mm f/3.5-5.6 IS STM Lens Kit,1249
https://shop.usa.canon.com/wcsstore/ExtendedSitesCatalogAssetStore/EOS-80D-18-135-Lens-Kit-Digital-SLR_1_l.jpg,EOS 80D EF-S 18-135mm f/3.5-5.6 IS USM Lens Kit,1699
https://shop.usa.canon.com/wcsstore/ExtendedSitesCatalogAssetStore/eos-t7i-body_1_l.jpg,EOS Rebel T7i Body,749.99
https://shop.usa.canon.com/wcsstore/ExtendedSitesCatalogAssetStore/eos-t7i-18-55_1_l.jpg,EOS Rebel T7i EF-S 18-55mm f/4-5.6 IS STM Lens Kit,899.99
https://shop.usa.canon.com/wcsstore/ExtendedSitesCatalogAssetStore/Video-Creator-Kit-T7i_1_l.jpg,EOS Rebel T7i Video Creator Kit,999.99
https://shop.usa.canon.com/wcsstore/ExtendedSitesCatalogAssetStore/eos-t7i-18-135_1_l.jpg,EOS Rebel T7i EF-S 18-135mm f/3.5-5.6 IS STM Lens Kit,1299
https://shop.usa.canon.com/wcsstore/ExtendedSitesCatalogAssetStore/36684_1_l.jpg,EOS Rebel T6s EF-S 18-135mm f/3.5-5.6 IS STM Lens Kit,1199
https://shop.usa.canon.com/wcsstore/ExtendedSitesCatalogAssetStore/36681_1_l.jpg,EOS Rebel T6i EF-S 18-55mm f/3.5-5.6 IS STM Lens Kit,899.99
https://shop.usa.canon.com/wcsstore/ExtendedSitesCatalogAssetStore/36682_1_l.jpg,EOS Rebel T6i EF-S 18-135mm f/3.5-5.6 IS STM Lens Kit,1099
https://shop.usa.canon.com/wcsstore/ExtendedSitesCatalogAssetStore/SL2-BLACK-EF18-55-IS-STM-NEW_1_l.jpg,EOS Rebel SL2 EF-S 18-55mm f/4-5.6 IS STM Lens Kit Black,699.99
https://shop.usa.canon.com/wcsstore/ExtendedSitesCatalogAssetStore/32254_1_l.jpg,EOS Rebel SL1 EF-S 18-55mm f/3.5-5.6 IS STM Lens Kit,699.99
https://shop.usa.canon.com/wcsstore/ExtendedSitesCatalogAssetStore/eos-rebel-t6-ef-s-18-55mm-f-3-5-5-6-is-ii-kit_1_l.jpg,EOS Rebel T6 EF-S 18-55mm f/3.5-5.6 IS II Lens Kit,549.99
https://shop.usa.canon.com/wcsstore/ExtendedSitesCatalogAssetStore/eos-rebel-double-zoom-lens-kit_1_l.jpg,EOS Rebel T6 Double Zoom Lens Kit,399.99
https://shop.usa.canon.com/wcsstore/ExtendedSitesCatalogAssetStore/EOS-M50-body_1_l.jpg,EOS M50 Body Black,679.99
https://shop.usa.canon.com/wcsstore/ExtendedSitesCatalogAssetStore/EOS-M50-15-45-Kit-Black_1_l.jpg,EOS M50 EF-M 15-45mm f/3.5-6.3 IS STM Lens Kit Black,799.99
https://shop.usa.canon.com/wcsstore/ExtendedSitesCatalogAssetStore/eos-m50-vck_1_l.jpg,EOS M50 Video Creator Kit,899.99
https://shop.usa.canon.com/wcsstore/ExtendedSitesCatalogAssetStore/os-hero-eos-m50-double-lens-kit_1_l.jpg,EOS M50 EF-M 15-45mm f/3.5-6.3 & 55-200mm f/4.5-6.3 IS STM Bundle Black,1149
https://shop.usa.canon.com/wcsstore/ExtendedSitesCatalogAssetStore/EOS-M6-BLACK-BODY-FRONT_1_l.jpg,EOS M6 Body Black,679.99
https://shop.usa.canon.com/wcsstore/ExtendedSitesCatalogAssetStore/EOS_M6_BLACK_EFM18-150_IS_STM_1_l.jpg,EOS M6 EF-M 18-150mm f/3.5-6.3 IS STM Lens Kit Black,1179
https://shop.usa.canon.com/wcsstore/ExtendedSitesCatalogAssetStore/eos-m5-efm-kit-18-150_1_l.jpg,EOS M5 EF-M 18-150mm f/3.5-6.3 IS STM Lens Kit,1279
https://shop.usa.canon.com/wcsstore/ExtendedSitesCatalogAssetStore/34688_1_l.jpg,EOS Rebel T5 EF-S 18-55mm f/3.5-5.6 IS II Lens Kit,549.99
https://shop.usa.canon.com/wcsstore/ExtendedSitesCatalogAssetStore/eos-t7-efs18-55ii_1_l.jpg,EOS Rebel T7 Camera Bundle for Beginners,449.99
