item_slider href,product_image src,product_image src 2,p_sale,p_old_price,p_sale 2,p_name,product_color src,product_color src 2,txl,inline href,ReviewRating
https://www.forever21.com/ca/shop/catalog/product/f21/dress_bodycon/2000337776,https://www.forever21.com/ca/shop/_common/images/c_loading.gif,https://www.forever21.com/images/default_330/00337776-05.jpg,$12.99 ,19.90,35% OFF,Off-the-Shoulder Bodycon Dress,https://www.forever21.com/images/sw_22/00337776-05.jpg,https://www.forever21.com/images/sw_22/00337776-04.jpg,2 Colors,https://www.forever21.com/ca/shop/catalog/product/f21/dress_bodycon/2000337776,-3
https://www.forever21.com/ca/shop/catalog/product/f21/top_blouses/2000334827,https://www.forever21.com/images/4_full_330/00334827-04.jpg,https://www.forever21.com/images/default_330/00334827-04.jpg,$10.99 ,15.90,31% OFF,Striped Cami Top,https://www.forever21.com/images/sw_22/00334827-04.jpg,https://www.forever21.com/images/sw_22/00334827-03.jpg,2 Colors,,
https://www.forever21.com/ca/shop/catalog/product/f21/top_t-shirts/2000333306,https://www.forever21.com/images/4_full_330/00333306-06.jpg,https://www.forever21.com/images/default_330/00333306-06.jpg,$12.99 ,19.90,35% OFF,Self-Tie Hem Tee,https://www.forever21.com/images/sw_22/00333306-06.jpg,https://www.forever21.com/images/sw_22/00333306-05.jpg,3 Colors,,
https://www.forever21.com/ca/shop/catalog/product/f21/top_t-shirts/2000336655,https://www.forever21.com/ca/shop/_common/images/c_loading.gif,https://www.forever21.com/images/default_330/00336655-05.jpg,$11.99 ,17.90,34% OFF,Floral Print Cropped Cami,https://www.forever21.com/images/sw_22/00336655-05.jpg,https://www.forever21.com/images/sw_22/00336655-04.jpg,2 Colors,,
https://www.forever21.com/ca/shop/catalog/product/f21/top_t-shirts/2000332145,https://www.forever21.com/ca/shop/_common/images/c_loading.gif,https://www.forever21.com/images/default_330/00332145-05.jpg,$11.99 ,17.90,34% OFF,Ribbed Striped Crop Top,https://www.forever21.com/images/sw_22/00332145-05.jpg,https://www.forever21.com/images/sw_22/00332145-04.jpg,3 Colors,https://www.forever21.com/ca/shop/catalog/product/f21/top_t-shirts/2000332145,-7
https://www.forever21.com/ca/shop/catalog/product/f21/top_t-shirts/2000326280,https://www.forever21.com/images/4_full_330/00326280-05.jpg,https://www.forever21.com/images/default_330/00326280-05.jpg,$11.99 ,17.90,34% OFF,Faded Knit Tee,https://www.forever21.com/images/sw_22/00326280-05.jpg,,,https://www.forever21.com/ca/shop/catalog/product/f21/top_t-shirts/2000326280,-1
https://www.forever21.com/ca/shop/catalog/product/f21/top_t-shirts/2000338947,https://www.forever21.com/images/4_full_330/00338947-08.jpg,https://www.forever21.com/images/default_330/00338947-08.jpg,$11.99 ,17.90,34% OFF,Solid V-Cutout Tee,https://www.forever21.com/images/sw_22/00338947-08.jpg,https://www.forever21.com/images/sw_22/00338947-07.jpg,2 Colors,,
https://www.forever21.com/ca/shop/catalog/product/f21/outerwear_utility-jackets/2000339379,https://www.forever21.com/images/4_full_330/00339379-04.jpg,https://www.forever21.com/images/default_330/00339379-04.jpg,$19.99 ,29.90,34% OFF,Zip-Front Hooded Jacket,https://www.forever21.com/images/sw_22/00339379-04.jpg,https://www.forever21.com/images/sw_22/00339379-03.jpg,2 Colors,https://www.forever21.com/ca/shop/catalog/product/f21/outerwear_utility-jackets/2000339379,-10
https://www.forever21.com/ca/shop/catalog/product/f21/top_blouses/2000346170,https://www.forever21.com/images/5_detail_330/00346170-04.jpg,https://www.forever21.com/images/default_330/00346170-04.jpg,$12.99 ,19.90,35% OFF,Crinkled High-Neck Cami,https://www.forever21.com/images/sw_22/00346170-04.jpg,https://www.forever21.com/images/sw_22/00346170-03.jpg,2 Colors,https://www.forever21.com/ca/shop/catalog/product/f21/top_blouses/2000346170,-4
https://www.forever21.com/ca/shop/catalog/product/f21/shoes_sandalsflipflops/2000335004,https://www.forever21.com/images/5_detail_330/00335004-03.jpg,https://www.forever21.com/images/default_330/00335004-03.jpg,$12.99 ,19.90,35% OFF,Strappy Faux Leather Sandals,https://www.forever21.com/images/sw_22/00335004-03.jpg,https://www.forever21.com/images/sw_22/00335004-02.jpg,2 Colors,https://www.forever21.com/ca/shop/catalog/product/f21/shoes_sandalsflipflops/2000335004,-2
